ORDERID;NATURE;OPERATIONTYPE;AMOUNT;CURRENCY;"BILLINGFEES INCL. VAT";DATE;CHARGEBACKDATE;"TRANSFER REFERENCE";EXTRADATA;3DSECUREFEE
1662924~1;refund;refund;191.76;EUR;0.00;"2023-02-10 22:30:36";;20230213.150.20134253043109506;629863;0
1662171~1;refund;refund;104.50;EUR;0.00;"2023-02-10 22:30:37";;20230213.150.20134253043109506;629687;0
1653511~1;refund;refund;77.50;EUR;0.00;"2023-02-10 22:30:38";;20230213.150.20134253043109506;627127;0
1656483~1;refund;refund;2.99;EUR;0.00;"2023-02-10 22:30:40";;20230213.150.20134253043109506;628899;0
1656483~1;refund;refund;106.73;EUR;0.00;"2023-02-10 22:30:41";;20230213.150.20134253043109506;628898;0
1664230~1;refund;refund;1.50;EUR;0.00;"2023-02-10 22:30:42";;20230213.150.20134253043109506;630207;0
1664230~1;refund;refund;72.70;EUR;0.00;"2023-02-10 22:30:44";;20230213.150.20134253043109506;630206;0
1655289~1;refund;refund;6.50;EUR;0.00;"2023-02-10 22:30:45";;20230213.150.20134253043109506;627889;0
1655289~1;refund;refund;25.80;EUR;0.00;"2023-02-10 22:30:46";;20230213.150.20134253043109506;627662;0
1659186~1;refund;refund;135.00;EUR;0.00;"2023-02-10 22:30:48";;20230213.150.20134253043109506;629775;0
1661851~1;refund;refund;36.25;EUR;0.00;"2023-02-10 22:30:49";;20230213.150.20134253043109506;629744;0
1662689~1;refund;refund;4.50;EUR;0.00;"2023-02-10 22:30:51";;20230213.150.20134253043109506;630244;0
1662689~1;refund;refund;22.50;EUR;0.00;"2023-02-10 22:30:52";;20230213.150.20134253043109506;630243;0
1663873~1;refund;refund;62.99;EUR;0.00;"2023-02-10 22:30:54";;20230213.150.20134253043109506;629741;0
1664522~1;refund;refund;92.28;EUR;0.00;"2023-02-10 22:30:55";;20230213.150.20134253043109506;630198;0
1657216~1;refund;refund;35.60;EUR;0.00;"2023-02-10 22:31:00";;20230213.150.20134253043109506;630028;0
1657216~1;refund;refund;59.50;EUR;0.00;"2023-02-10 22:31:01";;20230213.150.20134253043109506;630029;0
1676947~1;payment;payment;121.95;EUR;0.58;"2023-02-10 22:31:04";;20230213.150.20134253043109506;;0.00260
1658099~1;refund;refund;52.75;EUR;0.00;"2023-02-10 22:31:28";;20230213.150.20134253043109506;629841;0
1666314~1;refund;refund;6.49;EUR;0.00;"2023-02-10 22:31:29";;20230213.150.20134253043109506;630247;0
1666314~1;refund;refund;103.00;EUR;0.00;"2023-02-10 22:31:30";;20230213.150.20134253043109506;630246;0
1668788~1;refund;refund;3.62;EUR;0.00;"2023-02-10 22:31:32";;20230213.150.20134253043109506;630070;0
1668788~1;refund;refund;27.50;EUR;0.00;"2023-02-10 22:31:33";;20230213.150.20134253043109506;630069;0
1658226~1;refund;refund;7.62;EUR;0.00;"2023-02-10 22:31:34";;20230213.150.20134253043109506;630314;0
1658226~1;refund;refund;119.65;EUR;0.00;"2023-02-10 22:31:35";;20230213.150.20134253043109506;630313;0
1657774~1;refund;refund;71.38;EUR;0.00;"2023-02-10 22:31:37";;20230213.150.20134253043109506;630174;0
1666153~1;refund;refund;37.80;EUR;0.00;"2023-02-10 22:31:38";;20230213.150.20134253043109506;630321;0
1669094~1;refund;refund;2.93;EUR;0.00;"2023-02-10 22:31:45";;20230213.150.20134253043109506;630178;0
1669094~1;refund;refund;956.09;EUR;0.00;"2023-02-10 22:31:46";;20230213.150.20134253043109506;630177;0
1668066~1;refund;refund;92.00;EUR;0.00;"2023-02-10 22:32:06";;20230213.150.20134253043109506;630317;0
1665126~1;refund;refund;43.79;EUR;0.00;"2023-02-10 22:32:08";;20230213.150.20134253043109506;630249;0
1672374~1;refund;refund;50.99;EUR;0.00;"2023-02-10 22:32:09";;20230213.150.20134253043109506;630254;0
1659087~1;refund;refund;179.70;EUR;0.00;"2023-02-10 22:32:11";;20230213.150.20134253043109506;628499;0
1664508~1;refund;refund;115.50;EUR;0.00;"2023-02-10 22:32:12";;20230213.150.20134253043109506;630380;0
1665295~1;refund;refund;110.58;EUR;0.00;"2023-02-10 22:32:31";;20230213.150.20134253043109506;630362;0
1660578~1;refund;refund;26.25;EUR;0.00;"2023-02-10 22:32:32";;20230213.150.20134253043109506;629989;0
1665450~1;refund;refund;0.99;EUR;0.00;"2023-02-10 22:32:33";;20230213.150.20134253043109506;630287;0
1665450~1;refund;refund;72.05;EUR;0.00;"2023-02-10 22:32:35";;20230213.150.20134253043109506;630286;0
1661374~1;refund;refund;0.22;EUR;0.00;"2023-02-10 22:32:36";;20230213.150.20134253043109506;630074;0
1661374~1;refund;refund;11.85;EUR;0.00;"2023-02-10 22:32:37";;20230213.150.20134253043109506;630073;0
1667495~1;refund;refund;115.59;EUR;0.00;"2023-02-10 22:32:39";;20230213.150.20134253043109506;630369;0
1672637~1;refund;refund;0.37;EUR;0.00;"2023-02-10 22:32:48";;20230213.150.20134253043109506;630142;0
1672637~1;refund;refund;15.00;EUR;0.00;"2023-02-10 22:32:49";;20230213.150.20134253043109506;630141;0
1664575~1;refund;refund;4.50;EUR;0.00;"2023-02-10 22:32:51";;20230213.150.20134253043109506;630334;0
1664575~1;refund;refund;42.50;EUR;0.00;"2023-02-10 22:32:52";;20230213.150.20134253043109506;630333;0
1654212~1;refund;refund;55.80;EUR;0.00;"2023-02-10 22:32:54";;20230213.150.20134253043109506;628616;0
1666364~1;refund;refund;2.97;EUR;0.00;"2023-02-10 22:32:55";;20230213.150.20134253043109506;630397;0
1666364~1;refund;refund;62.80;EUR;0.00;"2023-02-10 22:32:56";;20230213.150.20134253043109506;630396;0
1668573~1;refund;refund;26.97;EUR;0.00;"2023-02-10 22:32:58";;20230213.150.20134253043109506;629651;0
1657761~1;refund;refund;74.03;EUR;0.00;"2023-02-10 22:32:59";;20230213.150.20134253043109506;630436;0
1665465~1;refund;refund;0.56;EUR;0.00;"2023-02-10 22:33:01";;20230213.150.20134253043109506;630429;0
1665465~1;refund;refund;26.73;EUR;0.00;"2023-02-10 22:33:02";;20230213.150.20134253043109506;630428;0
1662107~1;refund;refund;9.03;EUR;0.00;"2023-02-10 22:33:09";;20230213.150.20134253043109506;630374;0
1658388~1;refund;refund;72.83;EUR;0.00;"2023-02-10 22:33:10";;20230213.150.20134253043109506;630371;0
1663724~1;refund;refund;111.45;EUR;0.00;"2023-02-10 22:33:11";;20230213.150.20134253043109506;630375;0
1662107~1;refund;refund;118.15;EUR;0.00;"2023-02-10 22:33:12";;20230213.150.20134253043109506;630373;0
1663616~1;refund;refund;95.70;EUR;0.00;"2023-02-10 22:33:14";;20230213.150.20134253043109506;630381;0
1663376~1;refund;refund;59.20;EUR;0.00;"2023-02-10 22:33:20";;20230213.150.20134253043109506;630255;0
1662457~1;refund;refund;0.50;EUR;0.00;"2023-02-10 22:33:28";;20230213.150.20134253043109506;630342;0
1662457~1;refund;refund;30.15;EUR;0.00;"2023-02-10 22:33:29";;20230213.150.20134253043109506;630341;0
1661315~1;refund;refund;93.70;EUR;0.00;"2023-02-10 22:33:31";;20230213.150.20134253043109506;630384;0
1655904~1;refund;refund;1.85;EUR;0.00;"2023-02-10 22:33:32";;20230213.150.20134253043109506;629175;0
1655904~1;refund;refund;150.28;EUR;0.00;"2023-02-10 22:33:33";;20230213.150.20134253043109506;629174;0
1665873~1;refund;refund;2.99;EUR;0.00;"2023-02-10 22:33:35";;20230213.150.20134253043109506;630275;0
1665873~1;refund;refund;248.10;EUR;0.00;"2023-02-10 22:33:36";;20230213.150.20134253043109506;630274;0
1648118~1;refund;refund;133.08;EUR;0.00;"2023-02-10 22:33:42";;20230213.150.20134253043109506;625727;0
1662316~1;refund;refund;36.00;EUR;0.00;"2023-02-10 22:33:43";;20230213.150.20134253043109506;630104;0
1666619~1;refund;refund;50.70;EUR;0.00;"2023-02-10 22:33:44";;20230213.150.20134253043109506;631299;0
1665859~1;refund;refund;67.46;EUR;0.00;"2023-02-10 22:33:45";;20230213.150.20134253043109506;631298;0
1663677~1;refund;refund;78.46;EUR;0.00;"2023-02-10 22:33:47";;20230213.150.20134253043109506;630021;0
1668755~1;refund;refund;1.17;EUR;0.00;"2023-02-10 22:33:49";;20230213.150.20134253043109506;630412;0
1668755~1;refund;refund;39.50;EUR;0.00;"2023-02-10 22:33:50";;20230213.150.20134253043109506;630411;0
1664746~1;refund;refund;3.61;EUR;0.00;"2023-02-10 22:34:02";;20230213.150.20134253043109506;630352;0
1664746~1;refund;refund;32.00;EUR;0.00;"2023-02-10 22:34:03";;20230213.150.20134253043109506;630351;0
1662722~1;refund;refund;32.25;EUR;0.00;"2023-02-10 22:34:05";;20230213.150.20134253043109506;630349;0
1662807~1;refund;refund;71.89;EUR;0.00;"2023-02-10 22:34:16";;20230213.150.20134253043109506;630348;0
1665210~1;refund;refund;1.63;EUR;0.00;"2023-02-10 22:34:17";;20230213.150.20134253043109506;630301;0
1665210~1;refund;refund;215.89;EUR;0.00;"2023-02-10 22:34:19";;20230213.150.20134253043109506;630300;0
1676953~1;payment;payment;145.45;EUR;0.68;"2023-02-10 22:51:08";;20230213.150.20134253043109506;;0.00260
1676955~1;payment;payment;43.20;EUR;0.20;"2023-02-10 22:53:17";;20230213.150.20134253043109506;;0.00260
1676957~1;payment;payment;24.99;EUR;0.12;"2023-02-10 22:53:44";;20230213.150.20134253043109506;;0.00260
1676954~1;payment;payment;89.30;EUR;0.42;"2023-02-10 22:54:28";;20230213.150.20134253043109506;;0.00260
1676959~1;payment;payment;61.20;EUR;0.29;"2023-02-10 22:58:16";;20230213.150.20134253043109506;;0.00260
1676960~1;payment;payment;102.20;EUR;0.48;"2023-02-10 23:00:50";;20230213.150.20134253043109506;;0.00260
1676961~1;payment;payment;75.50;EUR;0.66;"2023-02-10 23:03:13";;20230213.150.20134253043109506;;0.02000
1676964~1;payment;payment;130.20;EUR;0.61;"2023-02-10 23:05:28";;20230213.150.20134253043109506;;0.00260
1676966~1;payment;payment;51.50;EUR;0.24;"2023-02-10 23:11:03";;20230213.150.20134253043109506;;0.00260
1676969~1;payment;payment;49.92;EUR;0.23;"2023-02-10 23:17:47";;20230213.150.20134253043109506;;0.00260
1676972~1;payment;payment;32.50;EUR;0.16;"2023-02-10 23:25:07";;20230213.150.20134253043109506;;0.00260
1676975~1;payment;payment;138.44;EUR;0.65;"2023-02-10 23:30:37";;20230213.150.20134253043109506;;0.00260
1676977~1;payment;payment;11.22;EUR;0.05;"2023-02-10 23:35:12";;20230213.150.20134253043109506;;0.00260
1676980~1;payment;payment;17.20;EUR;0.08;"2023-02-10 23:48:13";;20230213.150.20134253043109506;;0.00260
1676981~1;payment;payment;104.39;EUR;0.49;"2023-02-10 23:52:12";;20230213.150.20134253043109506;;0.00260
1676986~1;payment;payment;53.84;EUR;0.48;"2023-02-11 00:08:28";;20230213.150.20134253043109506;;0.04000
1676987~1;payment;payment;90.71;EUR;0.79;"2023-02-11 00:10:17";;20230213.150.20134253043109506;;0.02000
1676992~1;payment;payment;62.50;EUR;0.00;"2023-02-11 00:28:20";;;;0.04000
1676993~1;payment;payment;108.66;EUR;0.50;"2023-02-11 00:30:21";;20230213.150.20134253043109506;;0.00260
1676992~1;payment;payment;62.50;EUR;0.00;"2023-02-11 00:32:04";;;;0.04000
1676994~1;payment;payment;86.50;EUR;0.41;"2023-02-11 00:41:49";;20230213.150.20134253043109506;;0.00260
1676997~1;payment;payment;69.40;EUR;0.32;"2023-02-11 01:03:11";;20230213.150.20134253043109506;;0.00260
1677000~1;payment;payment;69.98;EUR;0.32;"2023-02-11 01:36:35";;20230213.150.20134253043109506;;0.00260
1677001~1;payment;payment;34.46;EUR;0.16;"2023-02-11 01:57:34";;20230213.150.20134253043109506;;0.00260
1677003~1;payment;payment;64.38;EUR;0.56;"2023-02-11 02:31:28";;20230213.150.20134253043109506;;0.04000
1677006~1;payment;payment;50.99;EUR;0.24;"2023-02-11 03:25:20";;20230213.150.20134253043109506;;0.00260
1677007~1;payment;payment;13.00;EUR;0.06;"2023-02-11 03:25:51";;20230213.150.20134253043109506;;0.00260
1677013~1;payment;payment;79.39;EUR;0.37;"2023-02-11 06:05:03";;20230213.150.20134253043109506;;0.00260
1677016~1;payment;payment;192.00;EUR;1.62;"2023-02-11 06:57:36";;20230213.150.20134253043109506;;0.02000
1677019~1;payment;payment;46.20;EUR;0.42;"2023-02-11 07:23:22";;20230213.150.20134253043109506;;0.04000
1677020~1;payment;payment;21.00;EUR;0.20;"2023-02-11 07:24:55";;20230213.150.20134253043109506;;0.02000
1677021~1;payment;payment;88.19;EUR;0.41;"2023-02-11 07:44:55";;20230213.150.20134253043109506;;0.00260
1677024~1;payment;payment;77.88;EUR;0.36;"2023-02-11 07:45:34";;20230213.150.20134253043109506;;0.00260
1677027~1;payment;payment;27.50;EUR;0.13;"2023-02-11 07:51:25";;20230213.150.20134253043109506;;0.00260
1677035~1;payment;payment;6.90;EUR;0.10;"2023-02-11 08:33:28";;20230213.150.20134253043109506;;0.04000
1677036~1;payment;payment;33.00;EUR;0.16;"2023-02-11 08:33:47";;20230213.150.20134253043109506;;0.00260
1677037~1;payment;payment;52.50;EUR;0.24;"2023-02-11 08:36:57";;20230213.150.20134253043109506;;0.00260
1677040~1;payment;payment;81.00;EUR;0.71;"2023-02-11 08:50:13";;20230213.150.20134253043109506;;0.02000
1677041~1;payment;payment;101.00;EUR;0.47;"2023-02-11 08:52:10";;20230213.150.20134253043109506;;0.00260
1677043~1;payment;payment;29.49;EUR;0.14;"2023-02-11 08:55:42";;20230213.150.20134253043109506;;0.00260
1677047~1;payment;payment;112.91;EUR;0.97;"2023-02-11 09:04:41";;20230213.150.20134253043109506;;0.02000
1677046~1;payment;payment;43.77;EUR;0.20;"2023-02-11 09:05:04";;20230213.150.20134253043109506;;0.00260
1677052~1;payment;payment;43.78;EUR;0.20;"2023-02-11 09:13:32";;20230213.150.20134253043109506;;0.00260
1677055~1;payment;payment;26.44;EUR;0.25;"2023-02-11 09:15:51";;20230213.150.20134253043109506;;0.02000
1677054~1;payment;payment;158.90;EUR;0.74;"2023-02-11 09:17:31";;20230213.150.20134253043109506;;0.00260
1677057~1;payment;payment;59.15;EUR;0.28;"2023-02-11 09:21:59";;20230213.150.20134253043109506;;0.00260
1677058~1;payment;payment;61.44;EUR;0.54;"2023-02-11 09:22:39";;20230213.150.20134253043109506;;0.02000
1677059~1;payment;payment;31.20;EUR;0.14;"2023-02-11 09:22:52";;20230213.150.20134253043109506;;0.00260
1677061~1;payment;payment;69.57;EUR;0.32;"2023-02-11 09:28:52";;20230213.150.20134253043109506;;0.00260
1677064~1;payment;payment;28.50;EUR;0.13;"2023-02-11 09:34:03";;20230213.150.20134253043109506;;0.00260
1677067~1;payment;payment;58.35;EUR;0.28;"2023-02-11 09:42:57";;20230213.150.20134253043109506;;0.00260
1677069~1;payment;payment;40.18;EUR;0.19;"2023-02-11 09:45:50";;20230213.150.20134253043109506;;0.00260
1677070~1;payment;payment;31.20;EUR;0.14;"2023-02-11 09:49:39";;20230213.150.20134253043109506;;0.00260
1677071~1;payment;payment;38.10;EUR;0.18;"2023-02-11 09:51:46";;20230213.150.20134253043109506;;0.00260
1677072~1;payment;payment;189.03;EUR;0.89;"2023-02-11 09:51:53";;20230213.150.20134253043109506;;0.00260
1677077~1;payment;payment;161.11;EUR;0.76;"2023-02-11 09:56:13";;20230213.150.20134253043109506;;0.00260
1677080~1;payment;payment;79.00;EUR;0.37;"2023-02-11 10:06:49";;20230213.150.20134253043109506;;0.00260
1677079~1;payment;payment;61.30;EUR;0.29;"2023-02-11 10:07:08";;20230213.150.20134253043109506;;0.00260
1677081~1;payment;payment;59.40;EUR;0.28;"2023-02-11 10:08:42";;20230213.150.20134253043109506;;0.00260
1677082~1;payment;payment;18.40;EUR;0.08;"2023-02-11 10:11:47";;20230213.150.20134253043109506;;0.00260
1677083~1;payment;payment;110.31;EUR;0.52;"2023-02-11 10:13:01";;20230213.150.20134253043109506;;0.00260
1677085~1;payment;payment;23.50;EUR;0.11;"2023-02-11 10:15:38";;20230213.150.20134253043109506;;0.00260
1677086~1;payment;payment;132.43;EUR;0.00;"2023-02-11 10:16:06";;;;0.02000
1677084~1;payment;payment;102.90;EUR;0.48;"2023-02-11 10:18:00";;20230213.150.20134253043109506;;0.00260
1677086~1;payment;payment;132.43;EUR;0.00;"2023-02-11 10:19:31";;;;0.02000
1677086~1;payment;payment;132.43;EUR;1.13;"2023-02-11 10:19:33";;20230213.150.20134253043109506;;0.02000
1677086~1;payment;payment;132.43;EUR;0.00;"2023-02-11 10:19:34";;;;0.02000
1677091~1;payment;payment;12.50;EUR;0.06;"2023-02-11 10:26:34";;20230213.150.20134253043109506;;0.00260
1677092~1;payment;payment;66.98;EUR;0.31;"2023-02-11 10:33:27";;20230213.150.20134253043109506;;0.00260
1677093~1;payment;payment;40.80;EUR;0.19;"2023-02-11 10:33:43";;20230213.150.20134253043109506;;0.00260
1677096~1;payment;payment;19.50;EUR;0.10;"2023-02-11 10:36:20";;20230213.150.20134253043109506;;0.00260
1677094~1;payment;payment;100.20;EUR;0.47;"2023-02-11 10:37:31";;20230213.150.20134253043109506;;0.00260
1677098~1;payment;payment;18.40;EUR;0.08;"2023-02-11 10:38:18";;20230213.150.20134253043109506;;0.00260
1677099~1;payment;payment;50.99;EUR;0.24;"2023-02-11 10:41:27";;20230213.150.20134253043109506;;0.00260
1677101~1;payment;payment;628.09;EUR;2.94;"2023-02-11 10:49:26";;20230213.150.20134253043109506;;0.00260
1677102~1;payment;payment;44.49;EUR;0.20;"2023-02-11 10:53:08";;20230213.150.20134253043109506;;0.00260
1677103~1;payment;payment;43.27;EUR;0.20;"2023-02-11 10:54:26";;20230213.150.20134253043109506;;0.00260
1677106~1;payment;payment;38.50;EUR;0.18;"2023-02-11 10:58:00";;20230213.150.20134253043109506;;0.00260
1677105~1;payment;payment;97.75;EUR;0.46;"2023-02-11 11:01:05";;20230213.150.20134253043109506;;0.00260
1677107~1;payment;payment;13.50;EUR;0.06;"2023-02-11 11:03:14";;20230213.150.20134253043109506;;0.00260
1677109~1;payment;payment;25.30;EUR;0.12;"2023-02-11 11:06:14";;20230213.150.20134253043109506;;0.00260
1677113~1;payment;payment;84.47;EUR;0.40;"2023-02-11 11:12:59";;20230213.150.20134253043109506;;0.00260
1677112~1;payment;payment;169.35;EUR;1.44;"2023-02-11 11:15:32";;20230213.150.20134253043109506;;0.04000
1677115~1;payment;payment;104.18;EUR;0.49;"2023-02-11 11:18:31";;20230213.150.20134253043109506;;0.00260
1677110~1;payment;payment;126.49;EUR;0.59;"2023-02-11 11:20:14";;20230213.150.20134253043109506;;0.00260
1677117~1;payment;payment;64.40;EUR;0.30;"2023-02-11 11:23:25";;20230213.150.20134253043109506;;0.00260
1677118~1;payment;payment;68.70;EUR;0.32;"2023-02-11 11:24:48";;20230213.150.20134253043109506;;0.00260
1677119~1;payment;payment;63.20;EUR;0.30;"2023-02-11 11:25:50";;20230213.150.20134253043109506;;0.00260
1677120~1;payment;payment;42.47;EUR;0.20;"2023-02-11 11:26:38";;20230213.150.20134253043109506;;0.00260
1677122~1;payment;payment;17.20;EUR;0.08;"2023-02-11 11:28:59";;20230213.150.20134253043109506;;0.00260
1677123~1;payment;payment;18.10;EUR;0.08;"2023-02-11 11:31:51";;20230213.150.20134253043109506;;0.00260
1677124~1;payment;payment;144.08;EUR;0.67;"2023-02-11 11:32:20";;20230213.150.20134253043109506;;0.00260
1677125~1;payment;payment;233.81;EUR;1.09;"2023-02-11 11:34:11";;20230213.150.20134253043109506;;0.00260
1677126~1;payment;payment;71.50;EUR;0.34;"2023-02-11 11:39:05";;20230213.150.20134253043109506;;0.00260
1677128~1;payment;payment;42.90;EUR;0.20;"2023-02-11 11:41:56";;20230213.150.20134253043109506;;0.00260
1677129~1;payment;payment;22.48;EUR;0.23;"2023-02-11 11:47:21";;20230213.150.20134253043109506;;0.04000
1677131~1;payment;payment;121.19;EUR;0.56;"2023-02-11 11:53:07";;20230213.150.20134253043109506;;0.00260
1677135~1;payment;payment;10.48;EUR;0.05;"2023-02-11 11:58:14";;20230213.150.20134253043109506;;0.00260
1677132~1;payment;payment;206.98;EUR;0.97;"2023-02-11 11:59:36";;20230213.150.20134253043109506;;0.00260
1677136~1;payment;payment;63.49;EUR;0.30;"2023-02-11 12:00:41";;20230213.150.20134253043109506;;0.00260
1676990~1;payment;payment;45.99;EUR;0.22;"2023-02-11 12:04:41";;20230213.150.20134253043109506;;0.00260
1677139~1;payment;payment;26.84;EUR;0.12;"2023-02-11 12:05:01";;20230213.150.20134253043109506;;0.00260
1677142~1;payment;payment;45.20;EUR;0.22;"2023-02-11 12:11:47";;20230213.150.20134253043109506;;0.00260
1676992~1;payment;payment;62.50;EUR;0.00;"2023-02-11 12:20:31";;;;0.04000
1677144~1;payment;payment;13.00;EUR;0.06;"2023-02-11 12:25:21";;20230213.150.20134253043109506;;0.00260
1677147~1;payment;payment;99.70;EUR;0.47;"2023-02-11 12:40:59";;20230213.150.20134253043109506;;0.00260
1677150~1;payment;payment;102.39;EUR;0.48;"2023-02-11 12:53:49";;20230213.150.20134253043109506;;0.00260
1677151~1;payment;payment;39.49;EUR;0.18;"2023-02-11 13:03:37";;20230213.150.20134253043109506;;0.00260
1677154~1;payment;payment;64.49;EUR;0.30;"2023-02-11 13:12:18";;20230213.150.20134253043109506;;0.00260
1677158~1;payment;payment;13.50;EUR;0.06;"2023-02-11 13:28:16";;20230213.150.20134253043109506;;0.00260
1677160~1;payment;payment;35.30;EUR;0.17;"2023-02-11 13:35:00";;20230213.150.20134253043109506;;0.00260
1677161~1;payment;payment;18.49;EUR;0.08;"2023-02-11 13:37:10";;20230213.150.20134253043109506;;0.00260
1677163~1;payment;payment;63.80;EUR;0.30;"2023-02-11 13:39:31";;20230213.150.20134253043109506;;0.00260
1677164~1;payment;payment;49.70;EUR;0.23;"2023-02-11 13:39:54";;20230213.150.20134253043109506;;0.00260
1677170~1;payment;payment;157.59;EUR;0.73;"2023-02-11 13:53:33";;20230213.150.20134253043109506;;0.00260
1677171~1;payment;payment;70.09;EUR;0.32;"2023-02-11 13:56:02";;20230213.150.20134253043109506;;0.00260
1677175~1;payment;payment;37.80;EUR;0.18;"2023-02-11 14:06:15";;20230213.150.20134253043109506;;0.00260
1677178~1;payment;payment;53.80;EUR;0.25;"2023-02-11 14:11:11";;20230213.150.20134253043109506;;0.00260
1677181~1;payment;payment;66.50;EUR;0.31;"2023-02-11 14:14:14";;20230213.150.20134253043109506;;0.00260
1677180~1;payment;payment;344.39;EUR;1.61;"2023-02-11 14:15:56";;20230213.150.20134253043109506;;0.00260
1677183~1;payment;payment;88.92;EUR;0.42;"2023-02-11 14:18:19";;20230213.150.20134253043109506;;0.00260
1677187~1;payment;payment;52.00;EUR;0.24;"2023-02-11 14:22:11";;20230213.150.20134253043109506;;0.00260
1677190~1;payment;payment;79.09;EUR;0.37;"2023-02-11 14:28:49";;20230213.150.20134253043109506;;0.00260
1677191~1;payment;payment;164.98;EUR;0.77;"2023-02-11 14:29:44";;20230213.150.20134253043109506;;0.00260
1677192~1;payment;payment;70.98;EUR;0.34;"2023-02-11 14:31:06";;20230213.150.20134253043109506;;0.00260
1677193~1;payment;payment;41.40;EUR;0.19;"2023-02-11 14:32:39";;20230213.150.20134253043109506;;0.00260
1677195~1;payment;payment;19.99;EUR;0.10;"2023-02-11 14:34:30";;20230213.150.20134253043109506;;0.00260
1677199~1;payment;payment;229.79;EUR;1.08;"2023-02-11 14:39:52";;20230213.150.20134253043109506;;0.00260
1677201~1;payment;payment;135.65;EUR;0.64;"2023-02-11 14:41:49";;20230213.150.20134253043109506;;0.00260
1677203~1;payment;payment;139.00;EUR;0.65;"2023-02-11 14:53:14";;20230213.150.20134253043109506;;0.00260
1677204~1;payment;payment;101.50;EUR;0.48;"2023-02-11 14:53:34";;20230213.150.20134253043109506;;0.00260
1677205~1;payment;payment;69.18;EUR;0.32;"2023-02-11 14:59:43";;20230213.150.20134253043109506;;0.00260
1677206~1;payment;payment;13.00;EUR;0.14;"2023-02-11 15:01:25";;20230213.150.20134253043109506;;0.02000
1677207~1;payment;payment;170.13;EUR;1.44;"2023-02-11 15:01:47";;20230213.150.20134253043109506;;0.02000
1676992~1;payment;payment;62.50;EUR;0.55;"2023-02-11 15:08:01";;20230213.150.20134253043109506;;0.02000
1677211~1;payment;payment;77.82;EUR;0.68;"2023-02-11 15:09:53";;20230213.150.20134253043109506;;0.02000
1677209~1;payment;payment;21.00;EUR;0.10;"2023-02-11 15:10:10";;20230213.150.20134253043109506;;0.00260
1677212~1;payment;payment;59.20;EUR;0.28;"2023-02-11 15:12:44";;20230213.150.20134253043109506;;0.00260
1677214~1;payment;payment;53.50;EUR;0.25;"2023-02-11 15:17:23";;20230213.150.20134253043109506;;0.00260
1677215~1;payment;payment;29.39;EUR;0.13;"2023-02-11 15:18:08";;20230213.150.20134253043109506;;0.00260
1677219~1;payment;payment;69.48;EUR;0.32;"2023-02-11 15:23:35";;20230213.150.20134253043109506;;0.00260
1677224~1;payment;payment;47.20;EUR;0.22;"2023-02-11 15:30:12";;20230213.150.20134253043109506;;0.00260
1677225~1;payment;payment;30.49;EUR;0.29;"2023-02-11 15:31:44";;20230213.150.20134253043109506;;0.02000
1677227~1;payment;payment;144.24;EUR;1.24;"2023-02-11 15:32:59";;20230213.150.20134253043109506;;0.04000
1677228~1;payment;payment;48.50;EUR;0.23;"2023-02-11 15:37:45";;20230213.150.20134253043109506;;0.00260
1677229~1;payment;payment;103.48;EUR;0.48;"2023-02-11 15:40:01";;20230213.150.20134253043109506;;0.00260
1677231~1;payment;payment;33.10;EUR;0.16;"2023-02-11 15:45:59";;20230213.150.20134253043109506;;0.00260
1677233~1;payment;payment;30.49;EUR;0.29;"2023-02-11 15:46:06";;20230213.150.20134253043109506;;0.02000
1677232~1;payment;payment;70.95;EUR;0.34;"2023-02-11 15:46:31";;20230213.150.20134253043109506;;0.00260
1677235~1;payment;payment;27.21;EUR;0.13;"2023-02-11 15:47:20";;20230213.150.20134253043109506;;0.00260
1677234~1;payment;payment;16.50;EUR;0.07;"2023-02-11 15:48:46";;20230213.150.20134253043109506;;0.00260
1677238~1;payment;payment;22.29;EUR;0.11;"2023-02-11 15:56:15";;20230213.150.20134253043109506;;0.00260
1677240~1;payment;payment;23.65;EUR;0.11;"2023-02-11 16:02:21";;20230213.150.20134253043109506;;0.00260
1677242~1;payment;payment;71.40;EUR;0.34;"2023-02-11 16:04:44";;20230213.150.20134253043109506;;0.00260
1677244~1;payment;payment;43.00;EUR;0.20;"2023-02-11 16:10:28";;20230213.150.20134253043109506;;0.00260
1677245~1;payment;payment;804.40;EUR;3.77;"2023-02-11 16:12:07";;20230213.150.20134253043109506;;0.00260
1677246~1;payment;payment;40.20;EUR;0.37;"2023-02-11 16:16:00";;20230213.150.20134253043109506;;0.02000
1677247~1;payment;payment;19.88;EUR;0.10;"2023-02-11 16:20:59";;20230213.150.20134253043109506;;0.00260
1677249~1;payment;payment;26.90;EUR;0.26;"2023-02-11 16:25:44";;20230213.150.20134253043109506;;0.02000
1677251~1;payment;payment;27.00;EUR;0.13;"2023-02-11 16:30:15";;20230213.150.20134253043109506;;0.00260
1677252~1;payment;payment;28.20;EUR;0.13;"2023-02-11 16:33:54";;20230213.150.20134253043109506;;0.00260
1677253~1;payment;payment;86.00;EUR;0.41;"2023-02-11 16:38:42";;20230213.150.20134253043109506;;0.00260
1677254~1;payment;payment;83.99;EUR;0.40;"2023-02-11 16:39:07";;20230213.150.20134253043109506;;0.00260
1677256~1;payment;payment;77.49;EUR;0.67;"2023-02-11 16:49:25";;20230213.150.20134253043109506;;0.04000
